Titre :;Crédits nouveaux (hors découverts) aux PME (hors microentreprises), taux d'intérêt annuel;
Code série :;PME.M.FR.CE.ME.15.N.ZZ.PM;Fréquence annuelle
Unité :;Pourcent (PC);
Magnitude :;Unités (0);
Méthode d'observation :;Fin de période (E);
Source :;Banque de France (FR2);
Jul 2020;1,097;1,097
Jun 2020;0,912;
Mai 2020;0,594;
Avr 2020;0,646;
Mar 2020;1,137;
Fév 2020;1,129;
Jan 2020;1,323;
Déc 2019;1,276;1,276
Nov 2019;1,281;
Oct 2019;1,337;
Sep 2019;1,283;
Aoû 2019;1,342;
Jul 2019;1,493;
Jun 2019;1,363;
Mai 2019;1,327;
Avr 2019;1,479;
Mar 2019;1,503;
Fév 2019;1,504;
Jan 2019;1,452;
Déc 2018;1,534;1,534
Nov 2018;1,576;
Oct 2018;1,535;
Sep 2018;1,604;
Aoû 2018;1,488;
Jul 2018;1,5;
Jun 2018;1,526;
Mai 2018;1,445;
Avr 2018;1,459;
Mar 2018;1,443;
Fév 2018;1,369;
Jan 2018;1,261;
Déc 2017;1,348;1,348
Nov 2017;1,333;
Oct 2017;1,423;
Sep 2017;1,471;
Aoû 2017;1,584;
Jul 2017;1,523;
Jun 2017;1,486;
Mai 2017;1,342;
Avr 2017;1,365;
Mar 2017;1,269;
Fév 2017;1,27;
Jan 2017;1,379;
Déc 2016;1,263;1,263
Nov 2016;1,366;
Oct 2016;1,437;
Sep 2016;1,461;
Aoû 2016;1,46;
Jul 2016;1,581;
Jun 2016;1,545;
Mai 2016;1,506;
Avr 2016;1,569;
Mar 2016;1,587;
Fév 2016;1,558;
Jan 2016;1,638;
Déc 2015;1,707;1,707
Nov 2015;1,707;
Oct 2015;1,664;
Sep 2015;1,825;
Aoû 2015;1,672;
Jul 2015;1,738;
Jun 2015;1,863;
Mai 2015;1,865;
Avr 2015;1,79;
Mar 2015;1,916;
Fév 2015;1,783;
Jan 2015;1,802;
Déc 2014;1,909;1,909
Nov 2014;1,962;
Oct 2014;1,997;
Sep 2014;1,947;
Aoû 2014;2,039;
Jul 2014;2,074;
Jun 2014;2,183;
Mai 2014;2,168;
Avr 2014;2,237;
Mar 2014;2,22;
Fév 2014;2,125;
Jan 2014;2,093;
Déc 2013;2,182;2,182
Nov 2013;2,219;
Oct 2013;2,239;
Sep 2013;2,124;
Aoû 2013;2,161;
Jul 2013;2,186;
Jun 2013;2,107;
Mai 2013;2,165;
Avr 2013;2,188;
Mar 2013;2,15;
Fév 2013;2,18;
Jan 2013;2,053;
Déc 2012;2,178;2,178
Nov 2012;2,154;
Oct 2012;2,186;
Sep 2012;2,182;
Aoû 2012;2,248;
Jul 2012;2,48;
Jun 2012;2,488;
Mai 2012;2,489;
Avr 2012;2,618;
Mar 2012;2,658;
Fév 2012;2,71;
Jan 2012;2,798;
Déc 2011;3,039;3,039
Nov 2011;3,131;
Oct 2011;3,308;
Sep 2011;3,271;
Aoû 2011;3,313;
Jul 2011;3,382;
Jun 2011;3,174;
Mai 2011;3,209;
Avr 2011;3,081;
Mar 2011;2,967;
Fév 2011;2,818;
Jan 2011;2,677;
Déc 2010;2,626;2,626
Nov 2010;2,567;
Oct 2010;2,491;
Sep 2010;2,42;
Aoû 2010;2,568;
Jul 2010;2,574;
Jun 2010;2,394;
Mai 2010;2,366;
Avr 2010;2,384;
Mar 2010;2,485;
Fév 2010;2,4;
Jan 2010;2,517;
Déc 2009;2,763;2,763
Nov 2009;2,613;
Oct 2009;2,615;
Sep 2009;2,64;
Aoû 2009;2,611;
Jul 2009;2,718;
Jun 2009;2,768;
Mai 2009;2,802;
Avr 2009;2,763;
Mar 2009;3,142;
Fév 2009;3,317;
Jan 2009;3,616;
Déc 2008;4,646;4,646
Nov 2008;4,904;
Oct 2008;5,725;
Sep 2008;5,904;
Aoû 2008;5,717;
Jul 2008;5,798;
Jun 2008;5,714;
Mai 2008;5,512;
Avr 2008;5,46;
Mar 2008;5,378;
Fév 2008;5,183;
Jan 2008;5,132;
Déc 2007;5,349;5,349
Nov 2007;5,475;
Oct 2007;5,456;
Sep 2007;5,368;
Aoû 2007;5,183;
Jul 2007;4,982;
Jun 2007;5,047;
Mai 2007;5,004;
Avr 2007;4,871;
Mar 2007;4,896;
Fév 2007;4,896;
Jan 2007;4,686;
Déc 2006;4,678;4,678
Nov 2006;4,664;
Oct 2006;4,489;
Sep 2006;4,21;
Aoû 2006;4,067;
Jul 2006;4,041;
Jun 2006;3,895;
Mai 2006;3,87;
Avr 2006;3,864;
Mar 2006;3,956;
Fév 2006;3,897;
Jan 2006;3,845;